Municipalities,Year,allAges,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,av_Income
Hedensted,2016,0.166645024455698,0.0216422109682725,0.0194779898714453,0.0627624118079903,0.0302990953555815,0.0216422109682725,0.00216422109682725,0.00216422109682725,218894
Hedensted,2017,0.167655403662626,0.0128965695125097,0.0429885650416989,0.040839136789614,0.0429885650416989,0.0128965695125097,0.0128965695125097,0.00214942825208495,225664
Hedensted,2018,0.139437103140553,0.0214518620216235,0.0321777930324352,0.0257422344259482,0.0278874206281105,0.0171614896172988,0.0128711172129741,0.00214518620216235,233866
Hele landet,1995,0.337698119393627,0.0445010693869647,0.0793196570675885,0.0800865863116551,0.0716311913958208,0.0435615810629831,0.0165848449029403,0.00201318926567484,112860
Hele landet,1996,0.347444075006327,0.0447159991292949,0.0811477309582307,0.0785005742806447,0.0765199678456163,0.0467346941496123,0.017692147866744,0.00213296077618443,117333
Hele landet,1997,0.325344306294546,0.041762819413057,0.0748242615630214,0.073269767150007,0.0730233229137974,0.045175124222113,0.0156776448727182,0.00161136615983198,122174
Hele landet,1998,0.313404077463727,0.0392841075765067,0.0680483844221893,0.0709191461297033,0.0708624863591602,0.0453844762049739,0.0171679104745407,0.00171867970647217,127671
Hele landet,1999,0.305468700891357,0.0365109530977285,0.0650798328927553,0.0660961171542385,0.0710834380670725,0.049158046129519,0.0160347072367344,0.00150560631330839,131454
Hele landet,2000,0.29797815014519,0.0369611482046357,0.0621022337854539,0.0651979644726442,0.0675995010057372,0.0478431106202137,0.0166981837066628,0.00157600834984233,136932
Hele landet,2001,0.290571702582299,0.036230326166409,0.0590004692369385,0.0651510251238056,0.0624029044083969,0.0504943813082924,0.0159278833301241,0.00136471300833223,141861
Hele landet,2002,0.282717937025264,0.0359148832170198,0.0586224779481127,0.0598891854474682,0.0594607402638626,0.051730098907502,0.0157965876390211,0.00130396360227769,147157
Hele landet,2003,0.292714478184152,0.0392131148271827,0.0590704429893136,0.0608908528676007,0.0611509114216417,0.0525875547492915,0.0184641573369112,0.00133744399221087,151255
Hele landet,2004,0.285074364446463,0.0427417013568591,0.0582858224831724,0.0562478566620825,0.0588045774194499,0.0490593954022379,0.0184899080858888,0.00144510303677287,160083
Hele landet,2005,0.285217600849481,0.0444994157603699,0.0570472161346603,0.0551807539287643,0.0587288801023487,0.0489900129488126,0.0192559764212232,0.00151534555330163,166784
Hele landet,2006,0.28253110578297,0.0470946593440245,0.0589420247423843,0.0541883384705696,0.0556439245770555,0.0444230139587023,0.020746708302571,0.00149243638766275,173270
Hele landet,2007,0.291151680313656,0.0489444718908006,0.0630072871452467,0.0540849265530002,0.0574996571500328,0.0462824507264472,0.0200294144159278,0.0012851136655499,177530
Hele landet,2008,0.306792105842272,0.0536370268979554,0.0699819840221196,0.0582391824234184,0.0568329682350825,0.0471173065702162,0.0194678483735855,0.00147926427604167,176201
Hele landet,2009,0.30622233552366,0.0517114212385158,0.0730310422754477,0.0557757575042798,0.0568825633623673,0.0471571872978605,0.019650340070636,0.00201402377455272,179308
Hele landet,2010,0.303705554673233,0.0473743806504383,0.0767349331130479,0.056336124663641,0.0554507910816915,0.0465793872299123,0.0195857469965962,0.00160805487333677,195011
Hele landet,2011,0.293371104286027,0.0443842264070321,0.076791185882507,0.0551026214388762,0.0523690710280703,0.0450316462411704,0.0179119487444911,0.00176242065959852,199057
Hele landet,2012,0.295802479135505,0.0450504290632252,0.0783454557933257,0.0581498179435823,0.049691662606334,0.0442619569555157,0.0184932548899159,0.00175614242171682,204037
Hele landet,2013,0.291260957537801,0.041748950832266,0.0784823158655295,0.059312425658666,0.0492277068813123,0.042230875446405,0.0184737768753293,0.00178490597829269,209655
Hele landet,2014,0.279306824330988,0.0376389803354987,0.0743538686136575,0.0617542288318499,0.0481594129882916,0.0381010263641687,0.0177887721037933,0.00149276409262601,214009
Hele landet,2015,0.276732164539552,0.0345959378220179,0.0739801796020372,0.0642622195396726,0.0472292859030918,0.0373699736943656,0.0175099971305514,0.00171389477463521,220185
Hele landet,2016,0.252770204444943,0.0296820134707981,0.0665479853377161,0.0591187210451433,0.0456969841392216,0.0339223011094835,0.0162077110156365,0.00136670428023746,223438
Hele landet,2017,0.246699639970212,0.0239358838385991,0.0627795092830698,0.0615444455094212,0.0450885253703843,0.0351036435946896,0.0153426232163113,0.00172213117734107,229875
Hele landet,2018,0.245800674507495,0.0231789517128813,0.0608533971088928,0.0625658718996206,0.0467211556540988,0.0343878776158269,0.0157409298945686,0.0014011157378682,235312
Helsingør,1995,0.457303667223639,0.061560109049336,0.0967373142203852,0.116084777064462,0.105531615513147,0.0562835282736787,0.0140708820684197,0.00175886025855246,117483
Helsingør,1996,0.456279061667334,0.0592117866285854,0.0940422493512826,0.114940526984901,0.0870761568067432,0.0783685411260689,0.0191567544974835,0.00174152313613486,122826
Helsingør,1997,0.500843344463185,0.0636811125262469,0.103266668961482,0.0963822243640494,0.127362225052494,0.068844445974321,0.0378644452858766,0.00172111114935803,127841
Helsingør,1998,0.427998976894876,0.0579759570295848,0.0869639355443772,0.100605337198397,0.100605337198397,0.0562707818228323,0.0238724528945349,0.00170517520675249,135926
Helsingør,1999,0.436607324172477,0.0439991877073039,0.0998443105665741,0.0795369931632031,0.116767075069383,0.0659987815609558,0.0287686996547756,0.00169227645028092,141258
Helsingør,2000,0.411820076648961,0.0773213205136825,0.0722786256975728,0.0840449136018288,0.099172998050158,0.055469642977207,0.0218516775364755,0.00168089827203658,148524
